Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32",0603,22,100nF,C14663
"C2, C3, C4, C5, C6, C7",0805,6,10uF,C15850
"C40, C41",0603,2,27pF,C107045
D1,D_SMB,1,D,C8678
"D2, D3",0805,3,LED,C2297
D4,0805,3,LED,C2296
F1,1206,1,Fuse,C3166702
L1,0603,1,Ferrite_Bead,C87555
"R1, R2, R3, R4, R5, R6",0603,6,10K,C25804
"R10, R11",0603,1,2K32,C227770
"R12, R13, R15, R20",0603,3,330,C23138
R14,0603,3,1K2,C22765
"R16, R17, R18, R19",0603,4,49.9,C23185
R21,0603,1,422,C23052
"R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37",0603,16,3K3,C22978
"R7, R8, R9",0603,3,22,C23345
U1,TQFP-64_14x14mm_P0.8mm,1,ATXMEGA64A3U,C98800
"U2, U3, U4, U5",SOIC-14_3.9x8.7mm_P1.27mm,4,74LVTH126,C2675764
U6,SOIC-14_3.9x8.7mm_P1.27mm,1,74LVC14,C2864988
U7,SOIC-20W_7.5x12.8mm_P1.27mm,1,74LVTH245,C2675854
U8,SOIC-28W_7.5x17.9mm_P1.27mm,1,ENC28J60-I/SP,C47351
U9,SOT-223-3_TabPin2,1,MCP1826S,C638624
