Designator,Mid X,Mid Y,Rotation,Layer
C10,102.235,-111.76,0.0,top
C11,97.79,-122.174,90.0,top
C12,102.235,-133.35,180.0,top
C13,111.76,-133.35,180.0,top
C14,119.38,-125.095,270.0,top
C15,119.38,-120.015,270.0,top
C16,86.995,-92.075,90.0,top
C17,100.33,-104.14,90.0,top
C18,113.665,-92.075,90.0,top
C19,127.0,-92.075,90.0,top
C2,72.39,-109.22,270.0,top
C20,100.33,-92.075,90.0,top
C21,123.825,-107.95,90.0,top
C23,137.795,-84.455,270.0,top
C24,137.795,-88.265,90.0,top
C25,137.795,-92.075,270.0,top
C26,139.7,-103.505,180.0,top
C27,137.795,-97.79,90.0,top
C28,147.955,-80.645,90.0,top
C29,142.875,-80.645,270.0,top
C3,82.55,-109.22,270.0,top
C30,137.795,-111.76,0.0,top
C31,79.502,-75.946,0.0,top
C32,131.064,-75.946,0.0,top
C4,73.66,-114.3,0.0,top
C40,133.35,-102.235,180.0,top
C41,133.35,-88.265,180.0,top
C5,80.01,-113.665,90.0,top
C6,153.035,-100.33,90.0,top
C7,142.24,-111.76,0.0,top
D1,69.85,-85.335,90.0,top
D2,74.295,-83.185,270.0,top
D3,102.87,-137.795,180.0,top
D4,111.76,-137.795,180.0,top
F1,71.755,-78.74,0.0,top
L1,135.255,-80.645,90.0,top
R1,142.24,-107.95,0.0,top
R10,153.035,-83.82,270.0,top
R11,74.295,-88.265,270.0,top
R12,153.035,-73.025,90.0,top
R13,153.035,-77.47,270.0,top
R14,98.425,-137.795,180.0,top
R15,107.315,-137.795,180.0,top
R16,150.495,-80.645,270.0,top
R17,145.415,-80.645,270.0,top
R18,140.335,-80.645,270.0,top
R19,137.795,-80.645,270.0,top
R2,146.685,-111.76,0.0,top
R20,77.47,-113.665,90.0,top
R21,82.55,-113.665,90.0,top
R22,106.045,-83.185,270.0,top
R23,107.95,-83.185,270.0,top
R24,115.57,-83.185,270.0,top
R25,113.665,-83.185,270.0,top
R26,118.745,-83.185,270.0,top
R27,120.65,-83.185,270.0,top
R28,125.095,-83.185,270.0,top
R29,127.0,-83.185,270.0,top
R3,146.685,-109.855,180.0,top
R30,97.79,-114.935,270.0,top
R31,95.885,-114.935,270.0,top
R32,91.44,-83.185,270.0,top
R33,88.265,-83.185,270.0,top
R34,86.36,-83.185,270.0,top
R35,81.915,-83.185,270.0,top
R36,80.01,-83.185,270.0,top
R37,127.0,-95.885,90.0,top
R4,146.685,-107.95,180.0,top
R5,83.185,-128.905,270.0,top
R6,83.185,-125.095,270.0,top
R7,119.38,-135.89,0.0,top
R8,119.38,-133.985,0.0,top
R9,151.765,-107.95,270.0,top
U1,108.585,-122.555,270.0,top
U2,94.615,-102.235,180.0,top
U3,81.28,-90.17,180.0,top
U4,107.95,-90.17,180.0,top
U5,121.285,-90.17,180.0,top
U6,94.615,-90.17,180.0,top
U7,115.57,-104.14,180.0,top
U8,145.415,-92.71,90.0,top
U9,77.47,-104.775,270.0,top
