refs,#,description,part,digikey,lcsc,notes
C1,1,100uF Cap,Nichicon UPV1A101MGD,493-17682-ND,,
C2-7,6,10uF Cap,Samsung Electro-Mechanics CL21B106KOQNNNE,1276-2872-1-ND,C15850,
C10-32,22,100nF Cap,Samsung Electro-Mechanics CL10B104KB8SFNC,1276-1936-1-ND,C14663,[1]
"C40,41",2,27pF Cap,AVX Corporation 06035A270FAT2A,478-10305-1-ND,C107045,
D1,1,Protection Diode,ON Semiconductor SS23,SS23CT-ND,C8678,
D2-3,2,Status LED,OSRAM Opto Semiconductors LG R971-KN-1,475-1410-1-ND,C2297,
D4,1,Error LED,OSRAM Opto Semiconductors LY R976-PS-36,475-2560-1-ND,C2296,
D5,1,USB Protection,Littelfuse Inc. SP0502BAHTG,F2714CT-ND,C207261,[4]
F1,1,1.25A Fuse,Bel Fuse Inc. C1Q 1.25,507-1078-1-ND,C3166702,
J1,1,DB25 Connector,Amphenol ICC (FCI) D25S13A4GV00LF,609-1507-ND,-,
J2,1,Power Connector,CUI Inc. PJ-037A,CP-037A-ND,C3095627,
J3,1,Ethernet Connector,Amphenol RJMG1BD3B8K1ANR,RJMG1BD3B8K1ANR-ND,C5119251,
J4,1,SD Holder,Kyocera 145638009211859+,478-4059-1-ND,-,[5]
J5,1,PDI Connector,Samtec Inc. TSW-103-07-F-D,SAM10846-ND,C3332728,
J6,1,USB Connector,Wurth Elektronik 629105150521,732-5960-1-ND,C2894326,[4]
L1,1,Ethernet Ferrite,TDK Corporation MPZ1608S471ATA00,445-5222-1-ND,C87555,
R1-6,6,10Kohm Resistor,Stackpole Electronics Inc RMCF0603JT10K0,RMCF0603JT10K0CT-ND,C25804,
R7-9,3,22ohm Resistor,Stackpole Electronics Inc RMCF0603FT22R0,RMCF0603FT22R0CT-ND,C23345,
R10,1,2.32Kohm Resistor,Stackpole Electronics Inc RNCF0603DTE2K32,RNCF0603DTE2K32CT-ND,C227770,
R11-13,3,330ohm Resistor,Stackpole Electronics Inc RMCF0603FT330R,RMCF0603FT330RCT-ND,C23138,
"R14-15,R21",3,165ohm Resistor,Stackpole Electronics Inc RMCF0603FT165R,RMCF0603FT165RCT-ND,-,
R16-19,4,49.9ohm Resistor,Stackpole Electronics Inc RNCP0603FTD49R9,RNCP0603FTD49R9CT-ND,C23185,
R20,1,150ohm Resistor,Stackpole Electronics Inc RMCF0603FT150R,RMCF0603FT150RCT-ND,-,
R22-37,16,3.3Kohm Resistor,Stackpole Electronics Inc RMCF0603JT3K30,RMCF0603JT3K30CT-ND,C22978,
"RN1,2",2,100ohm Resistor Pack,Bourns Inc. 4610X-101-101LF,4610X-1-101LF-ND,C840657,[2]
"TP1,2",2,Test Point,Keystone Electronics 5001,36-5001-ND,-,
U1,1,Main MCU,Microchip Technology ATXMEGA192A3U-AU,ATXMEGA192A3U-AU-ND,C219081,[3]
U2-5,4,Line Drivers,Texas Instruments SN74LVTH126DR,296-8663-1-ND,C2675764,
U6,1,Control Line Listener,Texas Instruments SN74LVC14ADRG4,296-49911-1-ND,C2864988,
U7,1,Data Line Listener,Texas Instruments SN74LVT245BDWR,296-8651-1-ND,C2675854,
U8,1,Ethernet Controller,Microchip Technology ENC28J60-I/SO,ENC28J60-I/SO-ND,C47351,
U9,1,3.3V Regulator,Microchip Technology MCP1826S-3302E/DB,MCP1826S-3302E/DB-ND,C638624,
U10,1,Terminator Regulator,Texas Instruments LM1117T-ADJ/NOPB,LM1117T-ADJ/NOPB-ND,C485564,
Y1,1,Ethernet Crystal,ECS-250-18-4X-CKM,50-ECS-250-18-4X-CKM-ND,C2649032,
-,1,Case,Hammond Manufacturing 1455L801,HM5856-ND,-,
-,1,Power Supply,CUI Inc. SWI15-5-N-P5,102-4159-ND,-,
,,,,,,
,[1],"Part performance is not critical, most 100nF X7R 0605 MLCC caps will be fine.",,,,
,[2],"100ohm value matches R20/21; if using 110ohm packs, R20=121ohm,R21=154ohm",,,,
,[3],Can recompile to target any A3U-AU chip.,,,,
,[4],Optional, not yet implemented.,,,,
,[5],EOL, Wurth Elektronik 693061010911 possible replacement by cutting bottom tabs.,,,,
